Column Name,Description,Data Type,Allowed Values,Data Coding
hh001_,Other contributor to household income,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
hh010_,Income from other sources,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
hh011e,Additional income received by all hh-members last year,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
hh011ub,Additional income received by all hh-members last year ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
hh011v1,Bracket value 1,Numeric,,
hh011v2,Bracket value 2,Numeric,,
hh011v3,Bracket value 3,Numeric,,
hh014_,Who answered the question in hh,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Respondent only; 2=Respondent and proxy; 3=Proxy only
hh017e,Total income received by all hh members an average month last year,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
hh017ub,Total income received by all hh-members an average month last year ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
hh017v1,Bracket value 1,Numeric,,
hh017v2,Bracket value 2,Numeric,,
hh017v3,Bracket value 3,Numeric,,
ho001_,Interview in house of respondent,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho002_,"Owner, tenant or rent free",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6",-2=Refusal; -1=Don't know; 1=Owner; 2=Member of a cooperative; 3=Tenant; 4=Subtenant; 5=Rent free; 6=Usufruct (FR only)
ho003_,Rent payment period,Categorical,"-2, -1, 1, 2, 3, 4, 5, 97",-2=Refusal; -1=Don't know; 1=A week; 2=A month; 3=Three months; 4=Six months; 5=A year; 97=Another period of time
ho007_,Last rent payment included all charges and services,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho008e,Amount charges and services,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho008ub,Amount charges and services ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho008v1,Bracket value 1,Numeric,,
ho008v2,Bracket value 2,Numeric,,
ho008v3,Bracket value 3,Numeric,,
ho010_,More than two months behind with rent,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho012_,Year acquired property,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho013_,Mortgages or loans on property,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho014_,Years left of mortgage or loan,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho015e,Amount still to pay on mortgage or loan,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho015ub,Amount still to pay on mortgage or loan ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho015v1,Bracket value 1,Numeric,,
ho015v2,Bracket value 2,Numeric,,
ho015v3,Bracket value 3,Numeric,,
ho017_,Regularly repay mortgage or loans,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho022_,Behind with regular repay mortgage or loan,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho023_,Sublet or let parts of accommodation,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho024e,Value of property,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho024ub,Value of property ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho024v1,Bracket value 1,Numeric,,
ho024v2,Bracket value 2,Numeric,,
ho024v3,Bracket value 3,Numeric,,
ho026_,Own other real estate,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho027e,Value of other real estate,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho027ub,Value of other real estate ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho027v1,Bracket value 1,Numeric,,
ho027v2,Bracket value 2,Numeric,,
ho027v3,Bracket value 3,Numeric,,
ho029_,Received income or rent of other real estate,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho030e,Amount income or rent of other real estate last year,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho030ub,Amount income or rent of other real estate last year ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho030v1,Bracket value 1,Numeric,,
ho030v2,Bracket value 2,Numeric,,
ho030v3,Bracket value 3,Numeric,,
ho032_,Number of rooms in accommodation,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho034_,Years in accommodation,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho037_,Area where respondent lives,Categorical,"-2, -1, 1, 2, 3, 4, 5",-2=Refusal; -1=Don't know; 1=A big city; 2=The suburbs or outskirts of a big city; 3=A large town; 4=A small town; 5=A rural area or village
ho041_,Who answered the questions in ho,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Respondent only; 2=Respondent and proxy; 3=Proxy only
ho043_,Number of steps to entrance,Categorical,"-2, -1, 1, 2, 3, 4",-2=Refusal; -1=Don't know; 1=Up to 5; 2=6 to 15; 3=16 to 25; 4=More than 25
ho054_,Elevator,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho060_,Partner years in accomodation,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho061_,Years in accommodation,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho067e,Amount similar dwelling todays market,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho067ub,Amount similar dwelling todays market ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho067v1,Bracket value 1,Numeric,,
ho067v2,Bracket value 2,Numeric,,
ho067v3,Bracket value 3,Numeric,,
ho070_,Percentage of house owned,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ho074e,Income from sublet of accomodation,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho074ub,Income from sublet of accomodation ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho074v1,Bracket value,Numeric,,
ho074v2,Bracket value,Numeric,,
ho074v3,Bracket value,Numeric,,
ho075_,Own other real estate/houses,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho076e,Worth of properties if now sold,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho076ub,Worth of properties if now sold ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho076v1,Bracket value 1,Numeric,,
ho076v2,Bracket value 2,Numeric,,
ho076v3,Bracket value 3,Numeric,,
ho077_,Receive rent or income from properties,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho078e,Amount of income from properties,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho078ub,Amount of income from properties ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho078v1,Bracket value 1,Numeric,,
ho078v2,Bracket value 2,Numeric,,
ho078v3,Bracket value 3,Numeric,,
ho079_,Lives in social/public housing sector,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho080d1,Income used to cover nursing home: pensions,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d2,Income used to cover nursing home: rents/annuities/...,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d3,Income used to cover nursing home: assets/savings,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d4,Income used to cover nursing home: (grand-)children,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d5,Income used to cover nursing home: housing allowance/public benefits,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d6,Income used to cover nursing home: public long-term care service,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080d7,Income used to cover nursing home: private long-term care service,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho080dot,Income used to cover nursing home: other,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho605e,Amount of last gross rent payment,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho605ub,Amount of last gross rent payment ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho605v1,Bracket value 1,Numeric,,
ho605v2,Bracket value 2,Numeric,,
ho605v3,Bracket value 3,Numeric,,
ho611d1,How property acquired: own means,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho611d2,How property acquired: loan/mortgage,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho611d3,How property acquired: help from family,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho611d4,How property acquired: bequest,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho611d5,How property acquired: gift,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho611d6,How property acquired: other means,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho620e,Amount payed for mortgages/loans on property last 12 months,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho620ub,Amount payed for mortgages/loans on property last 12 months ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho620v1,Bracket value 1,Numeric,,
ho620v2,Bracket value 2,Numeric,,
ho620v3,Bracket value 3,Numeric,,
ho633d1,Special features in accommodation: widened doors/corridors,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d2,Special features in accommodation: ramps/street level entrance,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d3,Special features in accommodation: hand rails,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d4,Special features in accommodation: automatic/easy open doors,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d5,Special features in accommodation: bathroom/toilet modifications,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d6,Special features in accommodation: kitchen modifications,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d7,Special features in accommodation: chair lifts/stair glides,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633d8,Special features in accommodation: alerting devices,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633dno,Special features in accommodation: none of these,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho633dot,Special features in accommodation: other,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
