topic,feature,description,source_file,wave
housing,ho015v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho017_,Regularly repay mortgage or loans,sharew9_rel9-0-0_ho.sav,w9
housing,ho022_,Behind with regular repay mortgage or loan,sharew9_rel9-0-0_ho.sav,w9
housing,ho023_,Sublet or let parts of accommodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho024e,Value of property,sharew9_rel9-0-0_ho.sav,w9
housing,ho024ub,Value of property ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho024v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho024v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho024v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho026_,Own other real estate,sharew9_rel9-0-0_ho.sav,w9
housing,ho027e,Value of other real estate,sharew9_rel9-0-0_ho.sav,w9
housing,ho027ub,Value of other real estate ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho027v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho027v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho027v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho029_,Received income or rent of other real estate,sharew9_rel9-0-0_ho.sav,w9
housing,ho030e,Amount income or rent of other real estate last year,sharew9_rel9-0-0_ho.sav,w9
housing,ho030ub,Amount income or rent of other real estate last year ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho030v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho030v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho030v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho032_,Number of rooms in accommodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho034_,Years in accommodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho037_,Area where respondent lives,sharew9_rel9-0-0_ho.sav,w9
housing,ho041_,Who answered the questions in ho,sharew9_rel9-0-0_ho.sav,w9
housing,ho043_,Number of steps to entrance,sharew9_rel9-0-0_ho.sav,w9
housing,ho054_,Elevator,sharew9_rel9-0-0_ho.sav,w9
housing,ho060_,Partner years in accomodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho061_,Years in accommodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho067e,Amount similar dwelling todays market,sharew9_rel9-0-0_ho.sav,w9
housing,ho067ub,Amount similar dwelling todays market ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho067v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho067v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho067v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho070_,Percentage of house owned,sharew9_rel9-0-0_ho.sav,w9
housing,ho074e,Income from sublet of accomodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho074ub,Income from sublet of accomodation ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho074v1,Bracket value,sharew9_rel9-0-0_ho.sav,w9
housing,ho074v2,Bracket value,sharew9_rel9-0-0_ho.sav,w9
housing,ho074v3,Bracket value,sharew9_rel9-0-0_ho.sav,w9
housing,ho075_,Own other real estate/houses,sharew9_rel9-0-0_ho.sav,w9
housing,ho076e,Worth of properties if now sold,sharew9_rel9-0-0_ho.sav,w9
housing,ho076ub,Worth of properties if now sold ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho076v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho076v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho076v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho077_,Receive rent or income from properties,sharew9_rel9-0-0_ho.sav,w9
housing,ho078e,Amount of income from properties,sharew9_rel9-0-0_ho.sav,w9
housing,ho078ub,Amount of income from properties ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho078v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho078v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho078v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho079_,Lives in social/public housing sector,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d1,Income used to cover nursing home: pensions,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d2,Income used to cover nursing home: rents/annuities/...,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d3,Income used to cover nursing home: assets/savings,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d4,Income used to cover nursing home: (grand-)children,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d5,Income used to cover nursing home: housing allowance/public benefits,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d6,Income used to cover nursing home: public long-term care service,sharew9_rel9-0-0_ho.sav,w9
housing,ho080d7,Income used to cover nursing home: private long-term care service,sharew9_rel9-0-0_ho.sav,w9
housing,ho080dot,Income used to cover nursing home: other,sharew9_rel9-0-0_ho.sav,w9
housing,ho605e,Amount of last gross rent payment,sharew9_rel9-0-0_ho.sav,w9
housing,ho605ub,Amount of last gross rent payment ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho605v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho605v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho605v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d1,How property acquired: own means,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d2,How property acquired: loan/mortgage,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d3,How property acquired: help from family,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d4,How property acquired: bequest,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d5,How property acquired: gift,sharew9_rel9-0-0_ho.sav,w9
housing,ho611d6,How property acquired: other means,sharew9_rel9-0-0_ho.sav,w9
housing,ho620e,Amount payed for mortgages/loans on property last 12 months,sharew9_rel9-0-0_ho.sav,w9
housing,ho620ub,Amount payed for mortgages/loans on property last 12 months ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho620v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho620v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho620v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d1,Special features in accommodation: widened doors/corridors,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d2,Special features in accommodation: ramps/street level entrance,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d3,Special features in accommodation: hand rails,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d4,Special features in accommodation: automatic/easy open doors,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d5,Special features in accommodation: bathroom/toilet modifications,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d6,Special features in accommodation: kitchen modifications,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d7,Special features in accommodation: chair lifts/stair glides,sharew9_rel9-0-0_ho.sav,w9
housing,ho633d8,Special features in accommodation: alerting devices,sharew9_rel9-0-0_ho.sav,w9
housing,ho633dno,Special features in accommodation: none of these,sharew9_rel9-0-0_ho.sav,w9
housing,ho633dot,Special features in accommodation: other,sharew9_rel9-0-0_ho.sav,w9
housing,ho636_,Type of building,sharew9_rel9-0-0_ho.sav,w9
housing,ho662_,Has to pay out-of-pocket for nursing home accommodation,sharew9_rel9-0-0_ho.sav,w9
housing,ho665e,Amount paying out-of-pocket for nursing home a typical month,sharew9_rel9-0-0_ho.sav,w9
housing,ho665ub,Amount paying out-of-pocket for nursing home a typical month ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho665v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho665v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho665v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d1,Payment nursinghome covers: lodging (room),sharew9_rel9-0-0_ho.sav,w9
housing,ho666d2,Payment nursinghome covers: meals,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d3,Payment nursinghome covers: nursing/care service,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d4,Payment nursinghome covers: rehabilitation/other health services,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d5,Payment nursinghome covers: laundry,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d6,Payment nursinghome covers: charges and services,sharew9_rel9-0-0_ho.sav,w9
housing,ho666d7,Payment nursinghome covers: other expenses,sharew9_rel9-0-0_ho.sav,w9
housing,ho666dno,Payment nursinghome covers: none of these,sharew9_rel9-0-0_ho.sav,w9
housing,ho782_,Certified nurse,sharew9_rel9-0-0_ho.sav,w9
health,hhid9,Household identifier (wave 9),sharew9_rel9-0-0_hc.sav,w9
health,mergeidp9,Partner identifier (wave 9),sharew9_rel9-0-0_hc.sav,w9
health,coupleid9,Couple identifier (wave 9),sharew9_rel9-0-0_hc.sav,w9
health,country,Country identifier,sharew9_rel9-0-0_hc.sav,w9
health,language,Language of questionnaire,sharew9_rel9-0-0_hc.sav,w9
health,adl,Number of limitations with activities of daily living (adl),sharew9_rel9-0-0_gv_health.sav,w9
health,adl2,1+ adl limitations,sharew9_rel9-0-0_gv_health.sav,w9
health,bmi,Body mass index,sharew9_rel9-0-0_gv_health.sav,w9
health,bmi2,Bmi categories,sharew9_rel9-0-0_gv_health.sav,w9
health,casp,CASP index for quality of life and well-being,sharew9_rel9-0-0_gv_health.sav,w9
health,cf008tot,Ten words list learning first trial total,sharew9_rel9-0-0_gv_health.sav,w9
health,cf016tot,Ten words list learning delayed recall total,sharew9_rel9-0-0_gv_health.sav,w9
health,chronic2w9,2+ chronic diseases (w9 version),sharew9_rel9-0-0_gv_health.sav,w9
health,chronicw9,Number of chronic diseases (w9 version),sharew9_rel9-0-0_gv_health.sav,w9
health,euro1,Depression(part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro2,Pessimism (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro3,Suicidality (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro4,Guilt (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro5,Sleep (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro6,Interest (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro7,Irritability (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro8,Appetite (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro9,Fatigue (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro10,Concentration (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro11,Enjoyment (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,euro12,Tearfulness (part of EURO-D),sharew9_rel9-0-0_gv_health.sav,w9
health,eurod,Depression scale EURO-D - high is depressed,sharew9_rel9-0-0_gv_health.sav,w9
health,eurodcat,EURO-D caseness,sharew9_rel9-0-0_gv_health.sav,w9
health,gali,Limitations with activities - gali,sharew9_rel9-0-0_gv_health.sav,w9
health,iadl,Limitations with instrumental activities of daily living (iadl),sharew9_rel9-0-0_gv_health.sav,w9
health,iadl2,1+ iadl limitations,sharew9_rel9-0-0_gv_health.sav,w9
health,loneliness,Loneliness (short version of R-UCLA Loneliness Scale) - high is lonely,sharew9_rel9-0-0_gv_health.sav,w9
health,maxgrip,Max. of grip strength measure,sharew9_rel9-0-0_gv_health.sav,w9
health,mobilit2,"1+ mobility, arm function and fine motor limitations",sharew9_rel9-0-0_gv_health.sav,w9
health,mobilit3,"3+ mobility, arm function and fine motor limitations",sharew9_rel9-0-0_gv_health.sav,w9
health,mobility,"Mobility, arm function and fine motor limitations",sharew9_rel9-0-0_gv_health.sav,w9
health,numeracy,Numeracy score: mathematical performance (percentage),sharew9_rel9-0-0_gv_health.sav,w9
health,numeracy2,Numeracy score 2: mathematical performance (subtraction),sharew9_rel9-0-0_gv_health.sav,w9
health,orienti,"Orientation to date, month,year and day of week",sharew9_rel9-0-0_gv_health.sav,w9
health,phactiv,Physical inactivity,sharew9_rel9-0-0_gv_health.sav,w9
health,sphus,Self-perceived health - us version,sharew9_rel9-0-0_gv_health.sav,w9
health,sphus2,Sphus-less than very good health,sharew9_rel9-0-0_gv_health.sav,w9
health,mh002_,Sad or depressed last month,sharew9_rel9-0-0_mh.sav,w9
health,mh003_,Hopes for the future,sharew9_rel9-0-0_mh.sav,w9
health,mh004_,Suicidal feelings or wish to be dead,sharew9_rel9-0-0_mh.sav,w9
health,mh005_,Feels guilty,sharew9_rel9-0-0_mh.sav,w9
health,mh006_,Blame for what,sharew9_rel9-0-0_mh.sav,w9
health,mh007_,Trouble sleeping,sharew9_rel9-0-0_mh.sav,w9
health,mh008_,Less or same interest in things,sharew9_rel9-0-0_mh.sav,w9
health,mh009_,Keeps up interest,sharew9_rel9-0-0_mh.sav,w9
health,mh010_,Irritability,sharew9_rel9-0-0_mh.sav,w9
health,mh011_,Appetite,sharew9_rel9-0-0_mh.sav,w9
health,mh012_,Eating more or less,sharew9_rel9-0-0_mh.sav,w9
health,mh013_,Fatigue,sharew9_rel9-0-0_mh.sav,w9
health,mh014_,Concentration on entertainment,sharew9_rel9-0-0_mh.sav,w9
health,mh015_,Concentration on reading,sharew9_rel9-0-0_mh.sav,w9
health,mh016_,Enjoyment,sharew9_rel9-0-0_mh.sav,w9
health,mh017_,Tearfulness,sharew9_rel9-0-0_mh.sav,w9
health,mh032_,End non proxy,sharew9_rel9-0-0_mh.sav,w9
health,mh034_,Feels lack of companionship,sharew9_rel9-0-0_mh.sav,w9
health,mh035_,Feels left out,sharew9_rel9-0-0_mh.sav,w9
health,mh036_,Feels isolated from others,sharew9_rel9-0-0_mh.sav,w9
health,mh037_,Feels lonely,sharew9_rel9-0-0_mh.sav,w9
health,ph003_,Health in general question 2,sharew9_rel9-0-0_ph.sav,w9
health,ph004_,Long-term illness,sharew9_rel9-0-0_ph.sav,w9
health,ph005_,Limited in activities because of health,sharew9_rel9-0-0_ph.sav,w9
health,ph006d1,Heart attack: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d2,High blood pressure or hypertension: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d3,High blood cholesterol: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d4,Stroke: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d5,Diabetes or high blood sugar: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d6,Chronic lung disease: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d10,Cancer: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d11,"Stomach or duodenal ulcer, peptic ulcer: ever diagnosed/currently having",sharew9_rel9-0-0_ph.sav,w9
health,ph006d12,Parkinson disease: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d13,Cataracts: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d14,Hip fracture or femoral fracture: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d15,Other fractures: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d16,"Alzheimer's disease, dementia, senility: ever diagnosed/currently having",sharew9_rel9-0-0_ph.sav,w9
health,ph006d18,Other affective/emotional disorders: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d19,Rheumatoid arthritis: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d20,Osteoarthritis/other rheumatism: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006d21,Chronic kidney disease: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006dno,None: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph006dot,Other: ever diagnosed/currently having,sharew9_rel9-0-0_ph.sav,w9
health,ph008d1,Cancer in: brain,sharew9_rel9-0-0_ph.sav,w9
health,ph008d2,Cancer in: oral cavity,sharew9_rel9-0-0_ph.sav,w9
health,ph008d3,Cancer in: larynx,sharew9_rel9-0-0_ph.sav,w9
health,ph008d4,Cancer in: other pharynx,sharew9_rel9-0-0_ph.sav,w9
health,ph008d5,Cancer in: thyroid,sharew9_rel9-0-0_ph.sav,w9
health,ph008d6,Cancer in: lung,sharew9_rel9-0-0_ph.sav,w9
health,ph008d7,Cancer in: breast,sharew9_rel9-0-0_ph.sav,w9
health,ph008d8,Cancer in: oesophagus,sharew9_rel9-0-0_ph.sav,w9
health,ph008d9,Cancer in: stomach,sharew9_rel9-0-0_ph.sav,w9
health,ph008d10,Cancer in: liver,sharew9_rel9-0-0_ph.sav,w9
health,ph008d11,Cancer in: pancreas,sharew9_rel9-0-0_ph.sav,w9
health,ph008d12,Cancer in: kidney,sharew9_rel9-0-0_ph.sav,w9
health,ph008d13,Cancer in: prostate,sharew9_rel9-0-0_ph.sav,w9
health,ph008d14,Cancer in: testicle,sharew9_rel9-0-0_ph.sav,w9
health,ph008d15,Cancer in: ovary,sharew9_rel9-0-0_ph.sav,w9
health,ph008d16,Cancer in: cervix,sharew9_rel9-0-0_ph.sav,w9
health,ph008d17,Cancer in: endometrium,sharew9_rel9-0-0_ph.sav,w9
health,ph008d18,Cancer in: colon or rectum,sharew9_rel9-0-0_ph.sav,w9
health,ph008d19,Cancer in: bladder,sharew9_rel9-0-0_ph.sav,w9
health,ph008d20,Cancer in: skin,sharew9_rel9-0-0_ph.sav,w9
health,ph008d21,Cancer in: non-hodgkin lymphoma,sharew9_rel9-0-0_ph.sav,w9
health,ph008d22,Cancer in: leukaemia,sharew9_rel9-0-0_ph.sav,w9
health,ph008dot,Cancer in: other organ,sharew9_rel9-0-0_ph.sav,w9
health,ph009_1,Age heart attack or other heart problems,sharew9_rel9-0-0_ph.sav,w9
health,ph009_2,Age high blood pressure,sharew9_rel9-0-0_ph.sav,w9
health,ph009_3,Age high blood cholesterol,sharew9_rel9-0-0_ph.sav,w9
health,ph009_4,Age stroke or cerebral vascular disease,sharew9_rel9-0-0_ph.sav,w9
health,ph009_5,Age diabetes,sharew9_rel9-0-0_ph.sav,w9
health,ph009_6,Age chronic lung disease,sharew9_rel9-0-0_ph.sav,w9
health,ph009_10,Age cancer or malignant tumour,sharew9_rel9-0-0_ph.sav,w9
health,ph009_11,"Age stomach, duodenal or peptic ulcer",sharew9_rel9-0-0_ph.sav,w9
health,ph009_12,Age parkinson disease,sharew9_rel9-0-0_ph.sav,w9
health,ph009_13,Age cataracts,sharew9_rel9-0-0_ph.sav,w9
health,ph009_14,Age hip or femoral fracture,sharew9_rel9-0-0_ph.sav,w9
health,ph009_15,Age other fractures,sharew9_rel9-0-0_ph.sav,w9
health,ph009_16,Age alzheimer's disease,sharew9_rel9-0-0_ph.sav,w9
health,ph009_18,Age affective or emotional disorders,sharew9_rel9-0-0_ph.sav,w9
health,ph009_19,Age rheumatoid arthritis,sharew9_rel9-0-0_ph.sav,w9
health,ph009_20,"Age osteoarthritis, or other rheumatism",sharew9_rel9-0-0_ph.sav,w9
health,ph009_21,Age chronic kidney disease,sharew9_rel9-0-0_ph.sav,w9
health,ph009_other,Age other condition,sharew9_rel9-0-0_ph.sav,w9
health,ph011d1,Drugs for: high blood cholesterol,sharew9_rel9-0-0_ph.sav,w9
health,ph011d2,Drugs for: high blood pressure,sharew9_rel9-0-0_ph.sav,w9
health,ph011d3,Drugs for: coronary diseases,sharew9_rel9-0-0_ph.sav,w9
health,ph011d4,Drugs for: other heart diseases,sharew9_rel9-0-0_ph.sav,w9
health,ph011d6,Drugs for: diabetes,sharew9_rel9-0-0_ph.sav,w9
health,ph011d7,Drugs for: joint pain,sharew9_rel9-0-0_ph.sav,w9
health,ph011d8,Drugs for: other pain,sharew9_rel9-0-0_ph.sav,w9
health,ph011d9,Drugs for: sleep problems,sharew9_rel9-0-0_ph.sav,w9
health,ph011d10,Drugs for: anxiety or depression,sharew9_rel9-0-0_ph.sav,w9
health,ph011d11,Drugs for: osteoporosis,sharew9_rel9-0-0_ph.sav,w9
health,ph011d13,Drugs for: stomach burns,sharew9_rel9-0-0_ph.sav,w9
health,ph011d14,Drugs for: chronic bronchitis,sharew9_rel9-0-0_ph.sav,w9
health,ph011d15,Drugs for: suppressing inflammation (only glucocorticoids or steroids),sharew9_rel9-0-0_ph.sav,w9
health,ph011dno,Drugs for: none,sharew9_rel9-0-0_ph.sav,w9
health,ph011dot,Drugs for: other,sharew9_rel9-0-0_ph.sav,w9
health,ph012_,Weight of respondent,sharew9_rel9-0-0_ph.sav,w9
health,ph013_,How tall are you?,sharew9_rel9-0-0_ph.sav,w9
health,ph041_,Wears glasses/contact lenses,sharew9_rel9-0-0_ph.sav,w9
health,ph043_,Eyesight distance,sharew9_rel9-0-0_ph.sav,w9
health,ph044_,Eyesight reading,sharew9_rel9-0-0_ph.sav,w9
health,ph045_,Use hearing aid,sharew9_rel9-0-0_ph.sav,w9
health,ph046_,Hearing,sharew9_rel9-0-0_ph.sav,w9
health,ph048d1,Difficulties: walking 100 metres,sharew9_rel9-0-0_ph.sav,w9
health,ph048d2,Difficulties: sitting two hours,sharew9_rel9-0-0_ph.sav,w9
health,ph048d3,Difficulties: getting up from chair,sharew9_rel9-0-0_ph.sav,w9
health,ph048d4,Difficulties: climbing several flights of stairs,sharew9_rel9-0-0_ph.sav,w9
health,ph048d5,Difficulties: climbing one flight of stairs,sharew9_rel9-0-0_ph.sav,w9
health,ph048d6,"Difficulties: stooping, kneeling, crouching",sharew9_rel9-0-0_ph.sav,w9
health,ph048d7,Difficulties: reaching or extending arms above shoulder,sharew9_rel9-0-0_ph.sav,w9
health,ph048d8,Difficulties: pulling or pushing large objects,sharew9_rel9-0-0_ph.sav,w9
health,ph048d9,Difficulties: lifting or carrying weights over 5 kilos,sharew9_rel9-0-0_ph.sav,w9
health,ph048d10,Difficulties: picking up a small coin from a table,sharew9_rel9-0-0_ph.sav,w9
health,ph048dno,Difficulties: none of these,sharew9_rel9-0-0_ph.sav,w9
health,ph049d1,"Difficulties: dressing, including shoes and socks",sharew9_rel9-0-0_ph.sav,w9
health,ph049d2,Difficulties: walking across a room,sharew9_rel9-0-0_ph.sav,w9
health,ph049d3,Difficulties: bathing or showering,sharew9_rel9-0-0_ph.sav,w9
health,ph049d4,"Difficulties: eating, cutting up food",sharew9_rel9-0-0_ph.sav,w9
health,ph049d5,Difficulties: getting in or out of bed,sharew9_rel9-0-0_ph.sav,w9
health,ph049d6,"Difficulties: using the toilet, incl getting up or down",sharew9_rel9-0-0_ph.sav,w9
health,ph049d7,Difficulties: using a map in a strange place,sharew9_rel9-0-0_ph.sav,w9
health,ph049d8,Difficulties: preparing a hot meal,sharew9_rel9-0-0_ph.sav,w9
health,ph049d9,Difficulties: shopping for groceries,sharew9_rel9-0-0_ph.sav,w9
health,ph049d10,Difficulties: telephone calls,sharew9_rel9-0-0_ph.sav,w9
health,ph049d11,Difficulties: taking medications,sharew9_rel9-0-0_ph.sav,w9
health,ph049d12,Difficulties: doing work around the house or garden,sharew9_rel9-0-0_ph.sav,w9
health,ph049d13,Difficulties: managing money,sharew9_rel9-0-0_ph.sav,w9
health,ph049d14,Difficulties: leaving the house independently/accessing transportation,sharew9_rel9-0-0_ph.sav,w9
health,ph049d15,Difficulties: doing personal laundry,sharew9_rel9-0-0_ph.sav,w9
health,ph049dno,Difficulties: none of these,sharew9_rel9-0-0_ph.sav,w9
health,ph050_,Help activities,sharew9_rel9-0-0_ph.sav,w9
health,ph051_,Help meets needs,sharew9_rel9-0-0_ph.sav,w9
health,ph054_,Who answered the questions in ph,sharew9_rel9-0-0_ph.sav,w9
health,ph059d1,Use of aids: a cane or walking stick,sharew9_rel9-0-0_ph.sav,w9
health,ph059d2,Use of aids: a zimmer frame or walker,sharew9_rel9-0-0_ph.sav,w9
health,ph059d3,Use of aids: a manual wheelchair,sharew9_rel9-0-0_ph.sav,w9
health,ph059d4,Use of aids: an electric wheelchair,sharew9_rel9-0-0_ph.sav,w9
health,ph059d5,Use of aids: a buggy or scooter,sharew9_rel9-0-0_ph.sav,w9
health,ph059d6,Use of aids: special eating utensils,sharew9_rel9-0-0_ph.sav,w9
