feature,value,label,source_file,topic,wave
language,65,Catalan (es),sharew9_rel9-0-0_ho.sav,housing,w9
areabldgi,-2,Refusal,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,-1,Don't know,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,1,A big city,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,2,The suburbs or outskirts of a big city,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,3,A large town,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,4,A small town,sharew9_rel9-0-0_gv_housing.sav,housing,w9
areabldgi,5,A rural area or village,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,-2,Refusal,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,-1,Don't know,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,1,A farm house,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,2,A free standing one or two family house,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,3,A one or two family house as row or double house,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,4,A building with 3 to 8 flats,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,5,A building with 9 or more flats but no more than 8 floors,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,6,A high-rise with 9 or more floors,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,7,A housing complex with services for elderly,sharew9_rel9-0-0_gv_housing.sav,housing,w9
typebldgi6,8,A nursing home,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,-2,Refusal,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,-1,Don't know,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,1,Up to 5,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,2,6 to 15,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,3,16 to 25,sharew9_rel9-0-0_gv_housing.sav,housing,w9
nstepsi,4,More than 25,sharew9_rel9-0-0_gv_housing.sav,housing,w9
hh001_,-2,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh001_,-1,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh001_,1,Yes,sharew9_rel9-0-0_hh.sav,housing,w9
hh001_,5,No,sharew9_rel9-0-0_hh.sav,housing,w9
hh010_,-2,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh010_,-1,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh010_,1,Yes,sharew9_rel9-0-0_hh.sav,housing,w9
hh010_,5,No,sharew9_rel9-0-0_hh.sav,housing,w9
hh011e,-9999992,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh011e,-9999991,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,-2,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,-1,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,1,Less than low entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,2,About low entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,3,Between low and mid entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,4,About mid entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,5,Between mid and high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,6,About high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh011ub,7,More than high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh014_,-2,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh014_,-1,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh014_,1,Respondent only,sharew9_rel9-0-0_hh.sav,housing,w9
hh014_,2,Respondent and proxy,sharew9_rel9-0-0_hh.sav,housing,w9
hh014_,3,Proxy only,sharew9_rel9-0-0_hh.sav,housing,w9
hh017e,-9999992,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh017e,-9999991,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,-2,Refusal,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,-1,Don't know,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,1,Less than low entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,2,About low entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,3,Between low and mid entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,4,About mid entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,5,Between mid and high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,6,About high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
hh017ub,7,More than high entry point,sharew9_rel9-0-0_hh.sav,housing,w9
ho001_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho001_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho001_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho001_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,1,Owner,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,2,Member of a cooperative,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,3,Tenant,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,4,Subtenant,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,5,Rent free,sharew9_rel9-0-0_ho.sav,housing,w9
ho002_,6,Usufruct (FR only),sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,1,A week,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,2,A month,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,3,Three months,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,4,Six months,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,5,A year,sharew9_rel9-0-0_ho.sav,housing,w9
ho003_,97,Another period of time,sharew9_rel9-0-0_ho.sav,housing,w9
ho007_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho007_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho007_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho007_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho008e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho008e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho008ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho010_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho010_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho010_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho010_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho012_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho012_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho013_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho013_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho013_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho013_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho014_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho014_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho015e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho015e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho015ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho017_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho017_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho017_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho017_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho022_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho022_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho022_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho022_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho023_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho023_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho023_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho023_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho024e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho024e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho024ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho026_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho026_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho026_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho026_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho027e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho027e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho027ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho029_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho029_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho029_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho029_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho030e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho030e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho030ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho032_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho032_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho034_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho034_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,1,A big city,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,2,The suburbs or outskirts of a big city,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,3,A large town,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,4,A small town,sharew9_rel9-0-0_ho.sav,housing,w9
ho037_,5,A rural area or village,sharew9_rel9-0-0_ho.sav,housing,w9
ho041_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho041_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho041_,1,Respondent only,sharew9_rel9-0-0_ho.sav,housing,w9
ho041_,2,Respondent and proxy,sharew9_rel9-0-0_ho.sav,housing,w9
ho041_,3,Proxy only,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,1,Up to 5,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,2,6 to 15,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,3,16 to 25,sharew9_rel9-0-0_ho.sav,housing,w9
ho043_,4,More than 25,sharew9_rel9-0-0_ho.sav,housing,w9
ho054_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho054_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho054_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho054_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho060_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho060_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho061_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho061_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho067e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho067e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho067ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho070_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho070_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho074e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho074e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho074ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho075_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho075_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho075_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho075_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho076e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho076e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho076ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho077_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho077_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho077_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho077_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho078e,-9999992,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho078e,-9999991,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,1,Less than low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,2,About low entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,3,Between low and mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,4,About mid entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,5,Between mid and high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,6,About high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho078ub,7,More than high entry point,sharew9_rel9-0-0_ho.sav,housing,w9
ho079_,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho079_,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho079_,1,Yes,sharew9_rel9-0-0_ho.sav,housing,w9
ho079_,5,No,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d1,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d1,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d1,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d1,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d2,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d2,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d2,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d2,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d3,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d3,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d3,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d3,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d4,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d4,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d4,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d4,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d5,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d5,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d5,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d5,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d6,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d6,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d6,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d6,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d7,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d7,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d7,0,Not selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080d7,1,Selected,sharew9_rel9-0-0_ho.sav,housing,w9
ho080dot,-2,Refusal,sharew9_rel9-0-0_ho.sav,housing,w9
ho080dot,-1,Don't know,sharew9_rel9-0-0_ho.sav,housing,w9
